Nombre Propiedad,Precio,Dormitorios,Baños,Metros Cuadrados,Dirección
"Arriendo Depto. 1d+1b En Phillips 16, Santiago",$280.000,1 dormitorio,1 baño,30 m² útiles,"P.º Phillips 1 - 300, Centro Histó..."
Arriendo Dpto Calle Moneda Cod. 2714,$280.000,1 dormitorio,1 baño,34 m² útiles,"Moneda 1617, Centro Histórico De S..."
"Arriendo Departamento Amplio En Tucapel Jiménez, Santiago",$510.000,2 dormitorios,2 baños,85 m² útiles,"Tucapel Jiménez 1 - 300, Santiago,..."
Dpto 1d Mas Bodega San Martin 898 Santiago Centro,$280.000,1 dormitorio,1 baño,33 m² útiles,"San Martín 898, Centro Histórico D..."
Amoblado - Luminoso - Vista Jardines - Depto De Un Ambiente,$280.000,1 dormitorio,1 baño,22 m² útiles,"Huérfanos 1400, Santiago, Chile, C..."
Departamento 2 D /2 B  /1 E Luminos,$420.000,2 dormitorios,2 baños,50 m² útiles,"San Pablo 1295, Centro Histórico D..."
Cómodo Departamento Cercano A Metro,$570.000,3 dormitorios,2 baños,64 m² útiles,"Tucapel Jiménez 76, Santiago, Cent..."
"2 Dormitorios, 1 Baño, Bodega",$400.000,2 dormitorios,1 baño,46 m² útiles,"Santo Domingo 673, Centro Históric..."
Se Arrienda Dpto Amoblado Metro Santa Ana,$358.000,1 dormitorio,1 baño,28 m² útiles,"Mario Kreutzberger 1558, Dpto 900 ..."
Departamento 2 Dormitorios 2 Baños Con Estacionamiento,$400.000,2 dormitorios,2 baños,51 m² útiles,"Av. Manuel Rodríguez 881, Centro H..."
Edificio Santo Domingo Vista Poniente Piso 14,$250.000,1 dormitorio,1 baño,26 m² útiles,"Santo Domingo 1391, Centro Históri..."
Departamento En Arriendo En Santiago,$360.000,1 dormitorio,1 baño,30 m² útiles,"Esquina San Pablo, Centro Históric..."
Departamento 1 Dor Metro Los Héroes,$300.000,1 dormitorio,1 baño,36 m² útiles,"Tucapel Jiménez 76, Centro Históri..."
Departamento Central Agustinas,UF9,2 dormitorios,1 baño,54 m² útiles,"Agustinas 1442, Centro Histórico D..."
,$750.000,4 dormitorios,2 baños,115 m² útiles,"Rosas Con San Martin, Centro Histó..."
Departamento En Arriendo  (55189),$550.000,2 dormitorios,2 baños,80 m² útiles,"Se Arrienda Departamento, Centro H..."
Departamento En Arriendo En Monjitas (50980),$380.000,1 dormitorio,1 baño,30 m² útiles,"Arriendo Departamento En Monjitas,..."
Dpto Tipo Loft Teatinos 535 Santiago Centro,$380.000,1 dormitorio,1 baño,55 m² útiles,"Teatinos 535, Centro Histórico De ..."
"Arriendo Mac Iver, Santiago Centro",$330.000,1 dormitorio,1 baño,30 m² útiles,"Mac Iver Con Santo Domingo, Centro..."
Disponible Inmediatamente Un Dorm 1 Baño Mosqueto 552,$350.000,1 dormitorio,1 baño,38 m² útiles,"Mosqueto 552, Depto 1102, Centro H..."
Arriendo Dpto 2 Dormitorios Cod. 704,$375.000,2 dormitorios,1 baño,56 m² útiles,"Tucapel Jiménez 136, Santiago, Chi..."
Arriendo Departamento 2 Dormitorios Cod. 1308,$385.000,2 dormitorios,2 baños,50 m² útiles,"Agustinas 1612, Santiago, Chile, C..."
Dpto En Arriendo A Pasos Del Metro Santa Ana Cod. 914,$430.000,2 dormitorios,1 baño,48 m² útiles,"Nueva Compañía 1656, Centro Histór..."
"Excelente Llegar Habitar, A Pasos Metro Santa Ana. Cod 1401",$450.000,2 dormitorios,2 baños,52 m² útiles,"General Mackenna 1555, Centro Hist..."
Arriendo Departamento Cod. 515,$300.000,1 dormitorio,1 baño,36 m² útiles,"Tucapel Jiménez 136, Santiago, Chi..."
Arriendo Dpto Calle Moneda Cod. 2714,$280.000,1 dormitorio,1 baño,36 m² útiles,"Moneda 1617, Centro Histórico De S..."
Arriendo Dpto Calle Morande Cod. 314,$300.000,1 dormitorio,1 baño,36 m² útiles,"Morandé 707, Centro Histórico De S..."
Arriendo Dpto Calle Amunategui Cod. S124,$300.000,1 dormitorio,1 baño,36 m² útiles,"Amunátegui 695, Centro Histórico D..."
Arriendo Departamento Santiago Centro Cod. 2408,$320.000,1 dormitorio,1 baño,36 m² útiles,"Tucapel Jiménez 136, Centro Histór..."
,$350.000,2 dormitorios,1 baño,44 m² útiles,"Teatro Teletón Metro Santa Ana, Ce..."
Departamento Arriendo Huerfanos/ Santiago,$300.000,1 dormitorio,1 baño,48 m² útiles,"Huerfanos / Paseo Ahumada, Centro ..."
Departamento Parque Forestal,$750.000,3 dormitorios,2 baños,77 m² útiles,"Ismael Valdés Vergara 654, Centro ..."
,UF7,1 dormitorio,1 baño,30 m² útiles,"San Pablo/san Martin, Centro Histó..."
,UF7,1 dormitorio,1 baño,29 m² útiles,"Sector  San Pablo/san Martín, Cent..."
,$290.000,1 dormitorio,1 baño,34 m² útiles,"Sector Santo Domingo, Centro Histó..."
,$280.000,1 dormitorio,1 baño,28 m² útiles,"Sector Metro Santa Ana, Centro His..."
Excelente Ubicación A Pasos De Metro Santa Ana,$280.000,1 baño,24 m² útiles,No disponible,"Metro Santa Ana, Centro Histórico ..."
Departamento En Arriendo De 1 Dorm. Code 515 En Santiago,$300.000,1 dormitorio,1 baño,36 m² útiles,"Tucapel Jiménez 136, Santiago, Chi..."
Dpto. Piso 16 - 2 Dorm 2 Baños - San Antonio / Sto. Domingo,$400.000,2 dormitorios,2 baños,45 m² útiles,"San Antonio 600 - 900, Centro Hist..."
Dpto Studio 1 Ambiente - Mosqueto / Metro Bellas Artes,$370.000,1 dormitorio,1 baño,30 m² útiles,"Mosqueto 300 - 600, Santiago, Cent..."
"Arriendo Depto 1 D. Seminuevo, Rosas 1220, Santiago $ 330",$330.000,1 dormitorio,1 baño,34 m² útiles,"Rosas 1220, Centro Histórico De Sa..."
Departamento En Arriendo De 1 Dorm. En Santiago,$380.000,1 dormitorio,1 baño,37 m² útiles,"Huerfanos 1400, Centro Histórico D..."
Departamento En Arriendo De 2 Dorm. En Santiago,$350.000,2 dormitorios,1 baño,45 m² útiles,"Compañia 1429, Centro Histórico De..."
Departamento Vista Oriente Con Bodega,$350.000,1 dormitorio,2 baños,48 m² útiles,"Santo Domingo 1200 - 1500, Centro ..."
"Excelente Depto. Amplio Y Cómodo, Ubicado En Sector Tranquil",$350.000,1 dormitorio,1 baño,45 m² útiles,"Santo Domingo 1200 - 1500, Santiag..."
Estudio Amoblado En Santa Ana Santiago,$360.000,1 baño,22 m² útiles,No disponible,"Huerfanos 1200 - 1500, Centro Hist..."
Departamento Amoblado A Pasos De La Moneda,$380.000,1 dormitorio,1 baño,32 m² útiles,"Moneda 1500 - 1800, Centro Históri..."
