Nombre Propiedad,Precio,Dormitorios,Baños,Metros Cuadrados,Dirección
Departamento En Arriendo De 3 Dorm. En Vitacura,$2.690.000,3 dormitorios,2 baños,128 m² útiles,"Vitacura/ La Aurora, La Llavería, ..."
"Cercano A Metro Las Torres , Quilín Y Hospital Cordillera.",$450.000,2 dormitorios,2 baños,60 m² útiles,"Av. Américo Vespucio 4641, Metro L..."
Arriendo Solo Con Opción De Compra Bosques De La Pirámide,UF32,4 dormitorios,4 baños,139 m² útiles,"La Rinconada 900 - 1200, Bosques D..."
Gran Oportunidad!! Arriendo Comodo Departamento.,$500.000,2 dormitorios,1 baño,50 m² útiles,"Av. Ecuador 4578, Metro Ecuador, E..."
Estupendo Departamento Nuevo En Las Condes. Deluxe 2b+2d,$1.360.000,2 dormitorios,2 baños,56 m² útiles,"Asturias 77, Santiago, Las Condes,..."
"Depto Nuevo, A Pasos De Metro Escuela Militar",$890.000,1 dormitorio,1 baño,43 m² útiles,"Asturias 77, Santiago, Las Condes,..."
Calle Carmen / Alt. Calle Curico,$380.000,2 dormitorios,1 baño,40 m² útiles,"Carmen 237, Santa Isabel, Santiago"
Coronel Souper 4060 Depto Estudio Oferta 2 Meses En $200.000,$230.000,1 baño,25 m² útiles,No disponible,"Coronel Souper 4060, Santiago, Est..."
Home Studio Conde Del Maule 4642 Oferta 2 Meses $200.000,$220.000,1 baño,28 m² útiles,No disponible,"Conde Del Maule 4642, Metro Ecuado..."
Depto 2d2b - Ecuador 4707 - Estación Central,$330.000,2 dormitorios,2 baños,50 m² útiles,"Avenida Ecuador 4707, Santiago, Es..."
Depto Mariposa 2d2b - Ecuador 4678 - Oferta 2 Meses $300.000,$360.000,2 dormitorios,2 baños,53 m² útiles,"Ecuador 4678, Santiago, Estación C..."
"Departamento En Arriendo Lo Barnechea, Gran Terraza Cerrada",$2.350.000,3 dormitorios,4 baños,149 m² útiles,Portal La Dehesa | Arriendo 3d3b M...
Departamento En Arriendo 3 Dorm 3 Baños Y Estar Lo Barnechea,$1.890.000,3 dormitorios,3 baños,139 m² útiles,El Gabino Arriendo Depto 3d3b Esta...
"Impecable, Bien Ubicado, Buena Vista Y Con Estacionamiento",$350.000,2 dormitorios,1 baño,40 m² útiles,"San Ignacio 1498, Santiago, Chile,..."
Moderno Departamento 1d+1b Diagonal Vicuña Mackenna Santiago,$300.000,1 dormitorio,1 baño,32 m² útiles,"Diag. Vicuña Mackenna 2004, Bogotá..."
Departamento Calle De La Luna Id: 84669,UF19,3 dormitorios,2 baños,78 m² útiles,"Calle De La Luna, Costas De Montem..."
Departamento José María Escrivá De Balaguer Id: 139918,UF35,3 dormitorios,2 baños,110 m² útiles,"José María Escrivá De Balaguer, Mo..."
Departamento Avenida Francisco Soza Cousiño Id: 140338,$630.000,2 dormitorios,2 baños,66 m² útiles,"Avenida Francisco Soza Cousiño, Mo..."
Departamento Froilán Roa Id: 141941,$400.000,1 dormitorio,1 baño,32 m² útiles,"Froilán Roa, La Florida"
Departamento Calle Pudeto Id: 134851,$510.000,2 dormitorios,1 baño,45 m² útiles,"Calle Pudeto, Plaza Vespucio, La F..."
Departamento 2 Norte Id: 142126,UF19,2 dormitorios,2 baños,56 m² útiles,"2 Norte, Libertad, Viña Del Mar"
Departamento Avenida Vicuña Mackenna Poniente Id: 141618,$440.000,2 dormitorios,2 baños,63 m² útiles,"Avenida Vicuña Mackenna Poniente, ..."
Departamento Avenida Borgoño Id: 136905,$400.000,3 dormitorios,2 baños,76 m² útiles,"Avenida Borgoño, Playa Amarilla, C..."
Departamento San Martín Id: 137847,UF18,3 dormitorios,2 baños,90 m² útiles,"San Martín, Barrio Oriente - Las T..."
Departamento La Concepción Id: 140841,$340.000,1 dormitorio,1 baño,36 m² útiles,"La Concepción, Vicente Valdés, La ..."
Departamento Avenida Vicuña Mackenna Poniente Id: 117617,$480.000,2 dormitorios,2 baños,55 m² útiles,"Avenida Vicuña Mackenna Poniente, ..."
Departamento Vecinal Id: 141768,$225.000,3 dormitorios,1 baño,40 m² útiles,"Vecinal, Vivaceta, Conchalí"
Departamento Avenida Edmundo Eluchans Id: 122448,$700.000,2 dormitorios,2 baños,65 m² útiles,"Avenida Edmundo Eluchans, Reñaca, ..."
Departamento Avenida Ecuador Id: 17158,$275.000,1 dormitorio,1 baño,33 m² útiles,"Avenida Ecuador, Metro Ecuador, Es..."
Departamento Santa Petronila Id: 60853,$300.000,2 dormitorios,1 baño,50 m² útiles,"Santa Petronila, Metro Las Rejas, ..."
Departamento Avenida Ecuador Id: 24922,$260.000,1 dormitorio,1 baño,33 m² útiles,"Avenida Ecuador, San Alberto Hurta..."
Departamento Avenida Departamental Id: 108233,$480.000,2 dormitorios,2 baños,50 m² útiles,"Avenida Departamental, Plaza Vespu..."
Departamento Constantino Id: 63916,$260.000,1 dormitorio,1 baño,20 m² útiles,"Constantino, San Alberto Hurtado, ..."
Departamento Constantino Id: 63911,$161.000,1 dormitorio,1 baño,17 m² útiles,"Constantino, San Alberto Hurtado, ..."
Departamento Colombia Id: 141336,$380.000,1 dormitorio,1 baño,36 m² útiles,"Colombia, Vicente Valdés, La Flori..."
Departamento Córdova Y Figueroa Id: 18539,$300.000,1 dormitorio,1 baño,26 m² útiles,"Córdova Y Figueroa, Gruta De Lourd..."
Departamento Navío San Martín Id: 125977,$351.000,2 dormitorios,1 baño,44 m² útiles,"Navío San Martín, Valparaíso"
Departamento Colombia Id: 99071,$390.000,1 dormitorio,1 baño,35 m² útiles,"Colombia, Vicente Valdés, La Flori..."
Departamento Brasil Id: 141403,$520.000,2 dormitorios,2 baños,60 m² útiles,"Brasil, Sector Puerto, Valparaíso"
Departamento Calle Dos Id: 105396,$290.000,1 dormitorio,1 baño,33 m² útiles,"Calle Dos, Trinidad, La Florida"
Departamento Peñalolén Id: 139929,UF23,3 dormitorios,2 baños,103 m² útiles,"Av. Consistorial 6130, 7941772 Peñ..."
Departamento Avenida Edmundo Eluchans Id: 142177,$700.000,2 dormitorios,2 baños,65 m² útiles,"Avenida Edmundo Eluchans, Reñaca, ..."
Departamento 22 Norte Id: 138282,UF14,2 dormitorios,2 baños,45 m² útiles,"22 Norte, Santa Inés, Viña Del Mar"
Departamento Uruguay Id: 141362,$400.000,1 dormitorio,1 baño,39 m² útiles,"Uruguay, Rojas Magallanes, La Flor..."
Departamento Los Pinos Id: 140941,$320.000,1 dormitorio,1 baño,33 m² útiles,"Los Pinos, Valparaíso"
Departamento Walker Martínez Id: 136592,$337.500,2 dormitorios,1 baño,58 m² útiles,"Walker Martínez, Vicente Valdés, L..."
Departamento Lago Las Torres Id: 141928,$295.000,2 dormitorios,2 baños,46 m² útiles,"Lago Las Torres, Los Pinos, Quilpué"
