Nombre Propiedad,Precio,Dormitorios,Baños,Metros Cuadrados,Dirección
Metro Vicente Valdes,$450.000,2 dormitorios,2 baños,55 m² útiles,"Metro Vicente Valdes, Vicente Vald..."
3d/2b Amoblado $650.000 Sta. Victoria/rojas Magallanes,$650.000,3 dormitorios,2 baños,59 m² útiles,"Santa Victoria/rojas Magallanes, L..."
,$500.000,3 dormitorios,2 baños,61 m² útiles,Precioso Departamento En Mall Plaz...
Arriendo Depto. 1d-1b Mall Plaza Vespucio,$350.000,1 dormitorio,1 baño,34 m² útiles,"Metro Bellavista De La Florida, Pl..."
Gran Oportunidad De Arriendo,$320.000,1 dormitorio,1 baño,31 m² útiles,"Froilán Lagos Sepúlveda 1500, Edif..."
Departamento En Arriendo De 2 Dorm. En La Florida,$520.000,2 dormitorios,2 baños,57 m² útiles,"Llanquihue 6290, Metro Mirador, La..."
Arriendo Depto. En La Florida 1d 1b 1bodega Edif. Todo Lujo,$350.000,1 dormitorio,1 baño,30 m² útiles,"Pudeto 6908, Plaza Vespucio, La Fl..."
Arriendo Depto. 1d 1b En La Florida Edificio Nuevo De Lujo,$335.000,1 dormitorio,1 baño,30 m² útiles,"Pudeto 6908, Plaza Vespucio, La Fl..."
Departamento En Arriendo De 2 Dorm. En La Florida,$530.000,2 dormitorios,2 baños,52 m² útiles,"Frente Al Mim / Metro L5, Plaza Ve..."
Departamento Arriendo 2 Dormitorios 2 Baños 1 Est La Florida,$470.000,2 dormitorios,2 baños,60 m² útiles,"Vicuña Mackenna 115400, Los Quilla..."
Arriendo Departamento 3 Dormitorios 2 Baños 1 E La Florida,$540.000,3 dormitorios,2 baños,75 m² útiles,"Vicuña Mackenna 115400, Los Quilla..."
Dpto. Arriendo 1 Dorm.terraza&#43;bd Y Estac. En Metro Mirad,$380.000,1 dormitorio,1 baño,40 m² útiles,"Metro Mirador, Plaza Vespucio, La ..."
Departamento En Arriendo De 2 Dorm. En La Florida,$420.000,2 dormitorios,2 baños,51 m² útiles,Barcelona Con Vicuña Mackenna Orie...
Departamento En Arriendo De 2 Dorm. En La Florida,$450.000,2 dormitorios,2 baños,55 m² útiles,"Vespucio / Froilán Roa, Plaza Vesp..."
Arriendo Hermoso Dpto Con Patio En Barrio Atto De La Florida,$850.000,3 dormitorios,2 baños,85 m² útiles,Avenida Alto Macul Con Camino Del ...
