Nombre Propiedad,Precio,Dormitorios,Baños,Metros Cuadrados,Dirección
"(grc 13.011) Hermoso Home Studio En Arriendo Piso 3, Ñuñoa",$320.000,1 dormitorio,1 baño,25 m² útiles,(grc) Vicuña Mackenna Con Malaquía...
Arriendo Comodo Y Lindo Departamento En Ñuñoa,$500.000,1 dormitorio,1 baño,36 m² útiles,"Marchant Pereira 3361, Metro Ñuñoa..."
"Cerca Metro 3 Dormitorios, 2 Baños, Estacionamiento, Bodega",$1.300.000,3 dormitorios,2 baños,80 m² útiles,"Estrella Solitaria 5100 - 5400, Ñu..."
"3 Dormitorios, 2 Baños, 2 Estacionamientos Y Bodega",$875.000,3 dormitorios,2 baños,90 m² útiles,"Dr. Pedro Lautaro Ferrer 2907, Pro..."
Se Arrienda Buen Departamento Ñuñoa 3d-2b-estac-bod,$850.000,3 dormitorios,2 baños,75 m² útiles,"Av. Irarrázaval 4554, Villa Frei, ..."
Departamento En Arriendo En Ñuñoa,$820.000,2 dormitorios,2 baños,64 m² útiles,"Ortúzar, Ñuñoa, Parque Botánico, Ñ..."
Se Arrienda Cómodo Departamento En Barrio Residencial,$820.000,1 dormitorio,1 baño,54 m² útiles,"Hamburgo 620, Plaza Egaña, Ñuñoa"
Metro Ñuñoa - Linea 3 Linea 5,$500.000,1 dormitorio,1 baño,24 m² útiles,"Irarrazabal Pedro De Valdivia, Met..."
Como Nuevo 85 Mts - Metro - 2d - 2e- Estac- Bodega Ñuñoa,$690.000,2 dormitorios,2 baños,75 m² útiles,"Av. Irarrázaval 1989, Metro Monseñ..."
Se Arrienda Departamento 3d 2b  Ñuñoa,$780.000,3 dormitorios,2 baños,80 m² útiles,"Av. Ossa 900 - 1200, Metro Simón B..."
Duplex Moderno E Impecable!!!!,UF27,2 dormitorios,2 baños,80 m² útiles,"Coventry 900 - 1200, Parque Botáni..."
,UF13,1 dormitorio,1 baño,34 m² útiles,Moderno Depto. 1 Studio/estacionam...
Luis Beltrán / Sucre,$700.000,2 dormitorios,2 baños,73 m² útiles,"Luis Beltrán 1800 - 2100, Metro Mo..."
"Arriendo Depto. En  Moderno Condominio, Metro Irarrazaval",$400.000,1 dormitorio,1 baño,37 m² útiles,"Av. Vicuña Mackenna 900 - 1200, Pa..."
"Moderno Estudio,cocina Equipada, Metro Plaza Egaña",$460.000,1 dormitorio,1 baño,34 m² útiles,"Av. Irarrázaval 5485, Ñuñoa, Plaza..."
1 Dormitorio A Pasos De Metro Y Mall Plaza Egaña Enero 2025,$520.000,1 dormitorio,1 baño,42 m² útiles,"Plaza Egaña, Plaza Egaña, Ñuñoa"
"Departamento En Arriendo Tipo Estudio, En Plaza Egaña",$470.000,1 dormitorio,1 baño,31 m² útiles,"Irarrázaval - Plaza Egaña, Plaza E..."
Edificio Zañartu Capital Vista Nororiente Piso 4,$475.000,2 dormitorios,1 baño,45 m² útiles,"Zañartu 1145, Estadio Nacional, Ñu..."
Edificio Zañartu Capital Vista Sur Piso 4,$540.000,2 dormitorios,2 baños,51 m² útiles,"Zañartu 1145, Estadio Nacional, Ñu..."
Edificio Zañartu Capital Vista Norte Piso 3,$535.000,2 dormitorios,2 baños,55 m² útiles,"Zañartu 1145, Estadio Nacional, Ñu..."
Edificio Zañartu (1 Est.) Vista Surponiente Piso 4,$523.285,2 dormitorios,1 baño,40 m² útiles,"Zañartu 2560, Estadio Nacional, Ñu..."
Dos Dormitorios Amoblado,$750.000,2 dormitorios,2 baños,60 m² útiles,"Julio Prado 1800 - 2100, Metro Mon..."
Encantador Depto. Amoblado En Ñuñoa: 3d,$1.000.000,3 dormitorios,2 baños,81 m² útiles,"Valencia, 2100 - 2400, Metro Ñuñoa..."
"Excelente Departamento, Casi Nuevo, 2 D, 2 B, Buen Sector",UF23,2 dormitorios,2 baños,58 m² útiles,Jaime Guzmán Errázuriz 3300 - 3600...
Moderno Seguro Amplio Depto 1d/1b/e,UF12,1 dormitorio,1 baño,55 m² útiles,"Exequiel Fernández 1381, Ñuñoa, Es..."
Departamento Duplex 89m2 En Venta O Arriendo En Ñuñoa,$900.000,1 dormitorio,1 baño,89 m² útiles,"Simón Bolívar 3200, Metro Ñuñoa, Ñ..."
Nuevo - Estilo Mariposa - Incluye Internet,UF18,2 dormitorios,2 baños,53 m² útiles,"Bretaña, Ñuñoa, Metro Monseñor Eyz..."
Departamento 2 Dormitorios 2 Baños Metro Ñuñoa,$650.000,2 dormitorios,2 baños,66 m² útiles,"Av. Irarrázaval 2220, Ñuñoa, Metro..."
"Home Estudio, Bodega, Estacionamiento Metro Monseñor Eyzagui",$370.000,1 dormitorio,1 baño,35 m² útiles,"Irarrazabal, Metro Monseñor Eyzagu..."
Departamento En Arriendo En Ñuñoa,$380.000,1 dormitorio,1 baño,38 m² útiles,"Zañartu / Metro Rodrigo De Araya, ..."
Departamento En Arriendo De 1 Dorm. En Ñuñoa,$500.000,1 dormitorio,1 baño,36 m² útiles,"Irarrazabal, Metro Monseñor Eyzagu..."
"Hermoso Depto. En San Eugenio 1401, Comuna De Ñuñoa",$440.000,1 dormitorio,1 baño,45 m² útiles,"San Eugenio 1401, Parque San Eugen..."
Dpto 2d/2b + 1e/1b - Av. Irarrázaval 5350 - Plaza Egaña,$715.000,2 dormitorios,2 baños,53 m² útiles,"Av. Irarrázaval 5350, Plaza Egaña,..."
Dpto. 1d/1b + 1e - Av. Irarrázaval 200 - Metro Irarrázaval,$435.000,1 dormitorio,1 baño,35 m² útiles,"Av. Irarrázaval 200, Metro Irarráz..."
Moderno E Impecable Depto. 2d + 2b / Barrio Italia / Ñuñoa,UF22,2 dormitorios,2 baños,70 m² útiles,"Tucapel 233, Metro Irarrázaval, Ñu..."
